VIREY SOUS BAR;10260
BOURANTON;10270
COURTERANGES;10270
FRESNOY LE CHATEAU;10270
LAUBRESSEL;10270
LUSIGNY SUR BARSE;10270
MONTAULIN;10270
MONTAULIN;10270
MONTIERAMEY;10270
MONTREUIL SUR BARSE;10270
FONTAINE LES GRES;10280
RILLY STE SYRE;10280
ST MESMIN;10280
AVON LA PEZE;10290
BERCENAY LE HAYER;10290
BOURDENAY;10290
CHARMOY;10290
FAUX VILLECERF;10290
FAY LES MARCILLY;10290
MARCILLY LE HAYER;10290
POUY SUR VANNES;10290
RIGNY LA NONNEUSE;10290
TRANCAULT;10290
VILLADIN;10290
MACEY;10300
MACEY;10300
MONTGUEUX;10300
STE SAVINE;10300
BAYEL;10310
JUVANCOURT;10310
LONGCHAMP SUR AUJON;10310
VILLE SOUS LA FERTE;10310
VILLE SOUS LA FERTE;10310
ASSENAY;10320
BOUILLY;10320
CRESANTIGNES;10320
FAYS LA CHAPELLE;10320
JAVERNANT;10320
JEUGNY;10320
LIREY;10320
LONGEVILLE SUR MOGNE;10320
MACHY;10320
MAUPAS;10320
RONCENAY;10320
ST JEAN DE BONNEVAL;10320
SOMMEVAL;10320
SOULIGNY;10320
VILLERY;10320
ARREMBECOURT;10330
BAILLY LE FRANC;10330
BALIGNICOURT;10330
CHAVANGES;10330
DONNEMENT;10330
JASSEINES;10330
JONCREUIL;10330
LENTILLES;10330
MONTMORENCY BEAUFORT;10330
PARS LES CHAVANGES;10330
ST LEGER SOUS MARGERIE;10330
VILLERET;10330
ARRELLES;10340
AVIREY LINGEY;10340
BAGNEUX LA FOSSE;10340
BRAGELOGNE BEAUVOIR;10340
BRAGELOGNE BEAUVOIR;10340
CHANNES;10340
LES RICEYS;10340
ECHEMINES;10350
MARIGNY LE CHATEL;10350
LE PAVILLON STE JULIE;10350
PRUNAY BELLEVILLE;10350
ST FLAVY;10350
ST LUPIEN;10350
VILLELOUP;10350
CUNFIN;10360
ESSOYES;10360
FONTETTE;10360
NOE LES MALLETS;10360
ST USAGE;10360
VERPILLIERES SUR OURCE;10360
VILLENAUXE LA GRANDE;10370
VILLENAUXE LA GRANDE;10370
BOULAGES;10380
CHARNY LE BACHOT;10380
PLANCY L ABBAYE;10380
PLANCY L ABBAYE;10380
VIAPRES LE PETIT;10380
CLEREY;10390
VERRIERES;10390
AVANT LES MARCILLY;10400
BARBUISE;10400
BARBUISE;10400
BOUY SUR ORVIN;10400
COURCEROY;10400
FERREUX QUINCEY;10400
FERREUX QUINCEY;10400
FONTAINE MACON;10400
FONTENAY DE BOSSERY;10400
GUMERY;10400
LA LOUPTIERE THENARD;10400
MARNAY SUR SEINE;10400
LE MERIOT;10400
MONTPOTHIER;10400
LA MOTTE TILLY;10400
NOGENT SUR SEINE;10400
PERIGNY LA ROSE;10400
PLESSIS BARBUISE;10400
PONT SUR SEINE;10400
ST AUBIN;10400
ST NICOLAS LA CHAPELLE;10400
LA SAULSOTTE;10400
SOLIGNY LES ETANGS;10400
TRAINEL;10400
LA VILLENEUVE AU CHATELOT;10400
RUVIGNY;10410
ST PARRES AUX TERTRES;10410
THENNELIERES;10410
VILLECHETIF;10410
VILLECHETIF;10410
LES NOES PRES TROYES;10420
ROSIERES PRES TROYES;10430
ROSIERES PRES TROYES;10430
LA RIVIERE DE CORPS;10440
TORVILLIERS;10440
BREVIANDES;10450
BREVIANDES;10450
BETIGNICOURT;10500
BLAINCOURT SUR AUBE;10500
BLIGNICOURT;10500
BRAUX;10500
BRIENNE LA VIEILLE;10500
BRIENNE LE CHATEAU;10500
LA CHAISE;10500
CHALETTE SUR VOIRE;10500
CHAUMESNIL;10500
COURCELLES SUR VOIRE;10500
